"","id","uid","label","os","emoji_id","unicode","emoji"
"149",149,"d58NVXSxGGBkD7NPJ2BfMcCUVBuVRBAf","happy","Win32",136,"26c4","⛄"
"150",150,"XMOA34LkzsgFtBrzkw8vgGxgdcEEffha","surprised","MacIntel",37,"1f633","😳"
"151",151,"d58NVXSxGGBkD7NPJ2BfMcCUVBuVRBAf","na","Win32",58,"266b","♫"
"152",152,"tlDmEXWPO4Tz0dmBYmi2SvKCSq1ZlECw","angry","Win32",66,"1f44a","👊"
"153",153,"d58NVXSxGGBkD7NPJ2BfMcCUVBuVRBAf","happy","Win32",93,"1f451","👑"
"154",154,"tlDmEXWPO4Tz0dmBYmi2SvKCSq1ZlECw","happy","Win32",46,"1f60b","😋"
"155",155,"d58NVXSxGGBkD7NPJ2BfMcCUVBuVRBAf","na","Win32",143,"1f448","👈"
"156",156,"1dB9UDYR8OwohGh4oKfwNp3ieHUs2e14","happy","iPhone",117,"1f64b","🙋"
"157",157,"d58NVXSxGGBkD7NPJ2BfMcCUVBuVRBAf","sad","Win32",44,"1f622","😢"
"158",158,"tlDmEXWPO4Tz0dmBYmi2SvKCSq1ZlECw","neutral","Win32",89,"1f51d","🔝"
"159",159,"1dB9UDYR8OwohGh4oKfwNp3ieHUs2e14","na","iPhone",71,"a9","©"
"160",160,"d58NVXSxGGBkD7NPJ2BfMcCUVBuVRBAf","neutral","Win32",75,"2615","☕"
"161",161,"tlDmEXWPO4Tz0dmBYmi2SvKCSq1ZlECw","happy","Win32",135,"1f619","😙"
"162",162,"tlDmEXWPO4Tz0dmBYmi2SvKCSq1ZlECw","happy","Win32",140,"1f48f","💏"
"163",163,"1dB9UDYR8OwohGh4oKfwNp3ieHUs2e14","na","iPhone",3,"2665","♥"
"164",164,"d58NVXSxGGBkD7NPJ2BfMcCUVBuVRBAf","afraid","Win32",108,"1f628","😨"
"165",165,"d58NVXSxGGBkD7NPJ2BfMcCUVBuVRBAf","na","Win32",74,"1f413","🐓"
"166",166,"tlDmEXWPO4Tz0dmBYmi2SvKCSq1ZlECw","surprised","Win32",31,"1f61c","😜"
"167",167,"tlDmEXWPO4Tz0dmBYmi2SvKCSq1ZlECw","happy","Win32",12,"263a","☺"
"168",168,"d58NVXSxGGBkD7NPJ2BfMcCUVBuVRBAf","na","Win32",192,"2614","☔"
"169",169,"tlDmEXWPO4Tz0dmBYmi2SvKCSq1ZlECw","happy","Win32",122,"1f61b","😛"
"170",170,"d58NVXSxGGBkD7NPJ2BfMcCUVBuVRBAf","na","Win32",183,"1f379","🍹"
"171",171,"d58NVXSxGGBkD7NPJ2BfMcCUVBuVRBAf","na","Win32",129,"1f52e","🔮"
"172",172,"tlDmEXWPO4Tz0dmBYmi2SvKCSq1ZlECw","happy","Win32",49,"1f3b6","🎶"
"173",173,"d58NVXSxGGBkD7NPJ2BfMcCUVBuVRBAf","happy","Win32",7,"1f60a","😊"
"174",174,"d58NVXSxGGBkD7NPJ2BfMcCUVBuVRBAf","happy","Win32",117,"1f64b","🙋"
"175",175,"tlDmEXWPO4Tz0dmBYmi2SvKCSq1ZlECw","sad","Win32",81,"1f625","😥"
"176",176,"tlDmEXWPO4Tz0dmBYmi2SvKCSq1ZlECw","sad","Win32",73,"1f498","💘"
"177",177,"tlDmEXWPO4Tz0dmBYmi2SvKCSq1ZlECw","happy","Win32",199,"1f33b","🌻"
"178",178,"tlDmEXWPO4Tz0dmBYmi2SvKCSq1ZlECw","neutral","Win32",156,"2501","━"
"179",179,"d58NVXSxGGBkD7NPJ2BfMcCUVBuVRBAf","na","Win32",123,"1f62c","😬"
"180",180,"d58NVXSxGGBkD7NPJ2BfMcCUVBuVRBAf","na","Win32",125,"1f48e","💎"
"181",181,"tlDmEXWPO4Tz0dmBYmi2SvKCSq1ZlECw","happy","Win32",43,"1f60e","😎"
"182",182,"d58NVXSxGGBkD7NPJ2BfMcCUVBuVRBAf","happy","Win32",193,"1f478","👸"
"183",183,"d58NVXSxGGBkD7NPJ2BfMcCUVBuVRBAf","happy","Win32",20,"1f64c","🙌"
"184",184,"d58NVXSxGGBkD7NPJ2BfMcCUVBuVRBAf","happy","Win32",17,"270c","✌"
"185",185,"tlDmEXWPO4Tz0dmBYmi2SvKCSq1ZlECw","sad","Win32",42,"1f621","😡"
"186",186,"d58NVXSxGGBkD7NPJ2BfMcCUVBuVRBAf","angry","Win32",66,"1f44a","👊"
"187",187,"tlDmEXWPO4Tz0dmBYmi2SvKCSq1ZlECw","happy","Win32",68,"1f600","😀"
"188",188,"tlDmEXWPO4Tz0dmBYmi2SvKCSq1ZlECw","neutral","Win32",154,"25aa","▪"
"189",189,"d58NVXSxGGBkD7NPJ2BfMcCUVBuVRBAf","na","Win32",130,"2757","❗"
"190",190,"tlDmEXWPO4Tz0dmBYmi2SvKCSq1ZlECw","neutral","Win32",71,"a9","©"
"191",191,"d58NVXSxGGBkD7NPJ2BfMcCUVBuVRBAf","na","Win32",103,"1f385","🎅"
"192",192,"tlDmEXWPO4Tz0dmBYmi2SvKCSq1ZlECw","happy","Win32",45,"1f48b","💋"
"193",193,"d58NVXSxGGBkD7NPJ2BfMcCUVBuVRBAf","na","Win32",71,"a9","©"
"194",194,"d58NVXSxGGBkD7NPJ2BfMcCUVBuVRBAf","na","Win32",170,"1f377","🍷"
"195",195,"d58NVXSxGGBkD7NPJ2BfMcCUVBuVRBAf","na","Win32",34,"1f49c","💜"
"196",196,"tlDmEXWPO4Tz0dmBYmi2SvKCSq1ZlECw","neutral","Win32",28,"1f614","😔"
"197",197,"d58NVXSxGGBkD7NPJ2BfMcCUVBuVRBAf","happy","Win32",85,"1f624","😤"
"198",198,"tlDmEXWPO4Tz0dmBYmi2SvKCSq1ZlECw","happy","Win32",55,"1f49b","💛"
"199",199,"XMOA34LkzsgFtBrzkw8vgGxgdcEEffha","neutral","MacIntel",183,"1f379","🍹"
"200",200,"d58NVXSxGGBkD7NPJ2BfMcCUVBuVRBAf","happy","Win32",12,"263a","☺"
